elapsed_s,tag_hex_id,position_x,position_y,yaw_map
12.398,0xC0,0.0096,0.1,354.56
12.446,0xC0,0.1,0.1,355.0
14.3,0xC0,0.1,0.0003,355.56
14.364,0xC0,0.1,0.0075,355.56
14.368,0xC0,0.1,0.1,355.56
14.654,0xC0,0.027,0.1,356.12
14.684,0xC0,0.0807,0.1,356.12
14.688,0xC0,0.1174,0.1,356.12
14.694,0xC0,0.1511,0.1,356.12
14.735,0xC0,0.224,0.1,356.12
14.748,0xC0,0.2755,0.1,356.12
14.778,0xC0,0.3528,0.1,356.12
14.903,0xC0,0.5367,0.1,356.12
14.952,0xC0,0.6317,0.1,356.31
14.958,0xC0,0.6623,0.1,356.31
14.964,0xC0,0.611,0.1,356.31
14.97,0xC0,0.5418,0.1,356.31
14.978,0xC0,0.4753,0.1,356.31
15.001,0xC0,0.4133,0.1,356.88
15.006,0xC0,0.3408,0.1,356.88
15.013,0xC0,0.2775,0.1,356.88
15.05,0xC0,0.2276,0.1,357.12
15.055,0xC0,0.1706,0.1,357.12
15.062,0xC0,0.1215,0.1,357.12
15.103,0xC0,0.0818,0.1,357.12
15.109,0xC0,0.0489,0.1,357.12
15.115,0xC0,0.0208,0.1,357.12
15.29,0xC0,0.1,0.1,357.75
16.603,0xC0,0.1,0.013,350.62
16.659,0xC0,0.1,0.1,350.44
17.047,0xC0,0.0091,0.1,350.69
17.053,0xC0,0.0165,0.1,350.69
17.056,0xC0,0.0227,0.1,350.69
17.059,0xC0,0.027,0.1,350.69
17.062,0xC0,0.0364,0.1,350.69
17.064,0xC0,0.0445,0.1,350.69
17.067,0xC0,0.0473,0.1,350.69
17.07,0xC0,0.0494,0.1,350.69
17.153,0xC0,0.1008,0.1,350.31
17.155,0xC0,0.0961,0.1,350.31
17.16,0xC0,0.0953,0.1,350.31
17.252,0xC0,0.1393,0.1,350.56
17.255,0xC0,0.1618,0.1,350.56
17.361,0xC0,0.2187,0.0796,350.62
17.365,0xC0,0.2016,0.114,350.62
17.37,0xC0,0.1731,0.1408,350.62
17.374,0xC0,0.1523,0.1101,350.62
17.379,0xC0,0.1381,0.0708,350.62
17.458,0xC0,0.1477,0.0417,350.38
